gyroX,gyroY,gyroZ,accelX,accelY,accelZ
 -1.93, 0.97, -0.94,0.07, 0.09, 1.03
 -1.81, 0.99, -1.02,0.08, 0.09, 1.02
 -1.97, 0.81, -0.85,0.08, 0.10, 1.02
 -2.09, 0.89, -0.99,0.07, 0.09, 1.02
 -1.82, 0.89, -0.87,0.08, 0.08, 1.02
 -2.02, 1.07, -0.72,0.08, 0.09, 1.02
 -1.83, 0.55, -0.47,0.08, 0.09, 1.02
 -1.88, 0.69, -0.69,0.07, 0.08, 1.02
 -2.11, 1.00, -0.72,0.08, 0.10, 1.03
 -1.94, 0.91, -0.55,0.08, 0.09, 1.03
 -1.69, 0.89, -0.81,0.07, 0.10, 1.03
 -2.01, 1.00, -0.74,0.08, 0.10, 1.02
 -2.05, 0.87, -0.79,0.07, 0.09, 1.02
 -2.11, 0.82, -0.81,0.07, 0.09, 1.03
 -2.01, 0.95, -0.81,0.07, 0.09, 1.02
 -1.94, 0.90, -0.91,0.07, 0.09, 1.02
 -1.71, 0.92, -1.05,0.07, 0.09, 1.02
 -1.80, 0.99, -0.96,0.08, 0.09, 1.01
 -1.97, 0.96, -0.63,0.07, 0.09, 1.02
 -2.04, 0.84, -0.65,0.08, 0.09, 1.02
 -2.04, 0.92, -0.65,0.08, 0.09, 1.02
 -2.08, 1.10, -0.50,0.07, 0.09, 1.03
 -1.79, 1.00, -0.77,0.07, 0.09, 1.02
 -1.98, 0.91, -0.78,0.08, 0.09, 1.01
 -1.99, 0.83, -0.60,0.07, 0.09, 1.02
 -2.05, 0.76, -0.85,0.07, 0.08, 1.03
 -1.96, 0.92, -0.77,0.08, 0.09, 1.02
 -2.06, 0.82, -0.96,0.08, 0.09, 1.02
 -2.15, 0.82, -0.89,0.08, 0.10, 1.02
 -1.83, 0.83, -0.89,0.08, 0.09, 1.03
 -2.29, 0.89, -0.97,0.07, 0.09, 1.02
 -1.92, 0.80, -0.72,0.07, 0.10, 1.01
 -1.95, 0.80, -0.56,0.06, 0.09, 1.02
 -1.86, 1.04, -0.65,0.07, 0.09, 1.02
 -2.03, 0.88, -0.66,0.08, 0.09, 1.02
 -1.99, 0.77, -0.66,0.07, 0.10, 1.02
 -1.95, 0.88, -0.81,0.07, 0.08, 1.02
 -1.97, 1.08, -0.76,0.08, 0.09, 1.02
 -1.80, 1.11, -0.76,0.07, 0.09, 1.02
 -2.14, 0.85, -0.82,0.07, 0.09, 1.02
 -1.85, 0.95, -0.78,0.08, 0.09, 1.02
 -2.00, 1.02, -0.90,0.07, 0.09, 1.02
 -2.10, 0.95, -0.80,0.07, 0.09, 1.03
 -1.92, 0.70, -0.93,0.07, 0.09, 1.02
 -1.63, 0.92, -0.74,0.08, 0.08, 1.02
 -2.03, 1.02, -0.73,0.07, 0.09, 1.01
 -1.79, 0.97, -0.75,0.07, 0.09, 1.01
 -1.80, 0.98, -0.69,0.07, 0.09, 1.02
 -2.02, 0.95, -0.71,0.07, 0.09, 1.01
 -2.03, 0.88, -0.65,0.07, 0.09, 1.03
 -1.95, 1.06, -0.59,0.07, 0.09, 1.03
 -1.82, 0.98, -0.61,0.07, 0.09, 1.02
 -1.95, 1.07, -0.92,0.07, 0.09, 1.03
 -1.77, 0.60, -0.98,0.07, 0.09, 1.03
 -1.73, 0.87, -0.98,0.07, 0.09, 1.02
 -2.16, 1.05, -0.95,0.07, 0.09, 1.02
 -1.75, 0.95, -0.87,0.07, 0.09, 1.02
 -1.99, 0.95, -0.63,0.07, 0.09, 1.02
 -2.31, 1.18, -0.92,0.08, 0.09, 1.02
 -2.08, 0.68, -0.66,0.07, 0.10, 1.03
 -1.79, 0.89, -0.79,0.07, 0.09, 1.03
 -1.74, 1.19, -0.69,0.07, 0.09, 1.02
 -1.98, 0.87, -0.70,0.07, 0.09, 1.02
 -1.87, 0.79, -0.64,0.07, 0.09, 1.02
 -1.56, 0.99, -0.89,0.08, 0.09, 1.02
 -2.15, 0.96, -0.79,0.08, 0.09, 1.02
 -1.97, 0.92, -0.85,0.07, 0.09, 1.02
 -2.02, 0.83, -0.79,0.08, 0.09, 1.02
 -1.98, 0.92, -0.93,0.07, 0.09, 1.01
 -1.86, 0.94, -0.78,0.07, 0.09, 1.03
 -2.06, 1.19, -0.82,0.07, 0.10, 1.02
 -2.09, 0.82, -0.87,0.08, 0.09, 1.03
 -1.71, 0.85, -0.81,0.07, 0.10, 1.02
 -1.94, 0.81, -0.70,0.07, 0.09, 1.03
 -1.85, 0.72, -0.51,0.08, 0.10, 1.03
 -2.08, 0.95, -0.62,0.08, 0.09, 1.02
 -2.08, 1.02, -0.76,0.08, 0.09, 1.02
 -2.25, 0.93, -0.55,0.07, 0.09, 1.03
 -1.89, 0.84, -0.87,0.07, 0.09, 1.02
 -1.94, 0.73, -0.66,0.07, 0.09, 1.02
 -2.26, 0.83, -0.87,0.07, 0.08, 1.02
 -2.00, 0.76, -1.07,0.08, 0.09, 1.02
 -1.81, 0.88, -0.85,0.08, 0.09, 1.02
 -2.09, 0.73, -0.87,0.08, 0.10, 1.02
 -1.95, 1.09, -0.81,0.08, 0.09, 1.01
 -1.88, 0.85, -0.73,0.08, 0.09, 1.02
 -1.88, 1.02, -0.68,0.07, 0.09, 1.01
 -1.85, 1.11, -0.52,0.07, 0.09, 1.02
 -2.14, 0.68, -0.56,0.07, 0.09, 1.03
 -1.67, 0.75, -0.65,0.07, 0.09, 1.02
 -1.66, 0.85, -0.76,0.07, 0.09, 1.03
 -2.00, 0.88, -0.63,0.08, 0.09, 1.02
 -2.13, 1.07, -0.82,0.07, 0.09, 1.02
 -1.99, 0.97, -0.95,0.08, 0.10, 1.02
 -1.98, 0.97, -0.78,0.08, 0.09, 1.02
 -1.89, 1.07, -0.63,0.07, 0.09, 1.02
 -1.74, 1.02, -0.71,0.08, 0.09, 1.02
 -2.07, 1.13, -0.84,0.07, 0.09, 1.03
 -1.98, 0.97, -0.61,0.07, 0.09, 1.02
 -1.92, 0.80, -0.71,0.08, 0.08, 1.03
 -2.10, 1.18, -0.69,0.07, 0.09, 1.02
 -2.13, 0.80, -0.56,0.07, 0.09, 1.03
 -1.89, 1.02, -0.63,0.07, 0.09, 1.02
 -1.92, 0.92, -0.86,0.08, 0.10, 1.01
 -2.20, 0.70, -0.71,0.07, 0.09, 1.02
 -1.91, 0.95, -0.69,0.07, 0.09, 1.02
 -1.91, 0.95, -1.07,0.08, 0.08, 1.02
 -2.02, 1.02, -0.72,0.07, 0.09, 1.02
 -2.10, 0.88, -0.84,0.08, 0.09, 1.03
 -1.66, 0.90, -0.90,0.07, 0.09, 1.01
 -1.98, 0.83, -0.77,0.07, 0.09, 1.02
 -1.84, 0.89, -0.89,0.08, 0.09, 1.03
 -2.00, 0.92, -0.64,0.08, 0.09, 1.02
 -2.11, 0.83, -0.63,0.07, 0.09, 1.02
 -2.11, 1.01, -0.63,0.08, 0.09, 1.03
 -2.13, 0.95, -0.75,0.07, 0.08, 1.03
 -1.73, 0.97, -0.66,0.08, 0.09, 1.02
 -2.11, 0.93, -0.84,0.07, 0.09, 1.02
 -1.87, 0.81, -0.95,0.07, 0.09, 1.01
 -1.94, 0.58, -0.79,0.08, 0.09, 1.02
 -1.89, 1.03, -1.03,0.08, 0.09, 1.02
 -1.87, 0.85, -0.95,0.07, 0.09, 1.03
 -1.76, 0.76, -0.95,0.08, 0.10, 1.02
 -1.98, 0.81, -0.72,0.07, 0.09, 1.01
 -1.87, 0.93, -0.85,0.08, 0.09, 1.02
 -1.87, 0.92, -0.79,0.07, 0.08, 1.03
 -1.82, 0.67, -0.60,0.07, 0.09, 1.02
 -1.99, 0.84, -0.51,0.07, 0.09, 1.01
 -2.21, 0.94, -0.79,0.08, 0.09, 1.02
 -1.89, 0.95, -0.63,0.07, 0.09, 1.02
 -1.81, 1.06, -0.89,0.07, 0.09, 1.02
 -1.99, 0.87, -0.74,0.07, 0.09, 1.03
 -2.13, 0.80, -0.88,0.07, 0.09, 1.01
 -1.81, 0.80, -1.06,0.07, 0.09, 1.02
 -2.15, 1.05, -0.78,0.07, 0.09, 1.03
 -1.95, 0.93, -0.89,0.07, 0.09, 1.02
 -1.75, 1.15, -0.92,0.08, 0.10, 1.02
 -1.99, 0.70, -0.92,0.07, 0.09, 1.02
 -1.75, 0.91, -0.57,0.08, 0.09, 1.02
 -1.84, 0.98, -0.72,0.08, 0.09, 1.02
 -1.93, 1.05, -0.66,0.07, 0.09, 1.02
 -1.93, 0.92, -0.68,0.07, 0.09, 1.03
 -2.05, 0.94, -0.64,0.07, 0.09, 1.02
 -2.04, 0.92, -0.66,0.08, 0.09, 1.02
 -2.02, 0.90, -0.74,0.08, 0.09, 1.02
 -1.99, 0.85, -0.68,0.07, 0.09, 1.02
 -1.98, 0.92, -0.70,0.07, 0.09, 1.02
 -1.92, 0.85, -0.72,0.08, 0.09, 1.02
 -1.98, 0.91, -0.99,0.07, 0.09, 1.03
 -1.76, 0.96, -0.79,0.08, 0.09, 1.02
 -2.07, 1.03, -0.69,0.07, 0.09, 1.03
 -1.83, 0.90, -0.73,0.07, 0.09, 1.02
 -1.92, 0.92, -0.85,0.07, 0.09, 1.02
 -2.09, 0.73, -0.90,0.08, 0.09, 1.02
 -1.87, 0.93, -0.64,0.08, 0.10, 1.02
 -2.05, 1.01, -0.50,0.07, 0.08, 1.03
 -2.19, 1.10, -0.79,0.08, 0.09, 1.02
 -2.08, 0.89, -0.79,0.08, 0.09, 1.02
 -2.15, 0.89, -0.63,0.08, 0.09, 1.03
 -1.92, 0.68, -0.76,0.07, 0.09, 1.02
 -1.93, 0.70, -0.92,0.07, 0.09, 1.02
 -1.98, 0.89, -0.71,0.08, 0.09, 1.03
 -1.83, 0.92, -0.89,0.07, 0.09, 1.02
 -1.89, 1.24, -0.98,0.08, 0.09, 1.01
 -1.75, 1.02, -0.77,0.08, 0.09, 1.01
 -2.15, 0.85, -0.62,0.07, 0.09, 1.03
 -1.92, 0.87, -0.79,0.07, 0.09, 1.04
 -1.94, 0.67, -0.40,0.07, 0.09, 1.02
 -2.00, 0.98, -0.56,0.08, 0.08, 1.02
 -1.76, 0.89, -0.76,0.08, 0.09, 1.03
 -1.93, 1.02, -0.85,0.07, 0.10, 1.02
 -1.84, 0.93, -0.61,0.07, 0.09, 1.02
 -1.89, 1.03, -0.87,0.08, 0.10, 1.02
 -2.28, 0.98, -0.71,0.08, 0.10, 1.02
 -1.94, 0.82, -0.75,0.07, 0.08, 1.01
 -1.98, 0.84, -1.02,0.07, 0.09, 1.02
 -2.18, 0.90, -0.75,0.08, 0.09, 1.02
 -1.86, 0.82, -0.93,0.08, 0.09, 1.02
 -1.69, 0.72, -0.66,0.07, 0.09, 1.02
 -2.03, 0.99, -0.69,0.07, 0.09, 1.02
 -1.97, 0.89, -0.62,0.07, 0.09, 1.02
 -1.74, 0.92, -0.63,0.08, 0.09, 1.02
 -1.97, 0.84, -0.58,0.07, 0.09, 1.03
 -2.05, 0.96, -0.56,0.07, 0.09, 1.02
 -2.05, 0.84, -0.83,0.08, 0.09, 1.02
 -2.02, 0.91, -0.79,0.07, 0.09, 1.02
 -1.69, 0.84, -1.02,0.08, 0.09, 1.02
 -2.02, 0.93, -0.89,0.07, 0.09, 1.02
 -1.93, 0.80, -0.82,0.08, 0.09, 1.02
 -2.18, 0.91, -0.95,0.08, 0.09, 1.01
 -1.96, 0.98, -0.79,0.08, 0.09, 1.02
 -2.02, 1.05, -0.89,0.08, 0.09, 1.02
 -1.92, 1.02, -0.63,0.08, 0.09, 1.02
 -2.02, 1.05, -0.68,0.08, 0.09, 1.02
 -2.15, 0.85, -0.58,0.07, 0.09, 1.03
 -1.98, 0.80, -0.62,0.08, 0.09, 1.02
 -1.85, 1.02, -0.66,0.08, 0.08, 1.03
 -1.79, 0.85, -0.79,0.08, 0.10, 1.03
 -1.97, 0.96, -0.73,0.08, 0.09, 1.02
 -1.73, 0.95, -0.80,0.08, 0.09, 1.02
 -1.96, 0.92, -0.77,0.08, 0.09, 1.03
 -2.12, 0.75, -0.85,0.07, 0.09, 1.01
 -2.14, 0.76, -0.80,0.07, 0.09, 1.03
 -2.08, 0.77, -0.83,0.07, 0.09, 1.02
 -1.92, 0.79, -0.69,0.08, 0.09, 1.02
 -1.86, 0.92, -0.56,0.07, 0.09, 1.03
 -2.10, 0.93, -0.73,0.07, 0.10, 1.03
 -1.92, 1.01, -0.71,0.08, 0.09, 1.02
 -2.03, 0.85, -0.68,0.07, 0.09, 1.01
 -1.91, 0.97, -0.63,0.07, 0.09, 1.02
 -1.89, 1.00, -0.77,0.07, 0.10, 1.03
 -2.03, 0.88, -0.80,0.07, 0.09, 1.02
 -1.94, 0.97, -0.85,0.07, 0.09, 1.04
 -2.00, 0.80, -0.79,0.07, 0.09, 1.02
 -1.81, 0.87, -0.86,0.07, 0.09, 1.02
 -1.57, 0.63, -0.98,0.07, 0.09, 1.02
 -1.86, 0.91, -0.97,0.08, 0.09, 1.02
 -2.08, 0.88, -1.02,0.08, 0.09, 1.02
 -2.08, 1.05, -0.74,0.07, 0.09, 1.03
 -1.99, 0.96, -0.68,0.07, 0.09, 1.02
 -2.17, 0.85, -0.69,0.07, 0.09, 1.02
 -2.02, 0.94, -0.69,0.07, 0.09, 1.03
 -1.99, 0.78, -0.70,0.07, 0.09, 1.02
 -1.76, 0.89, -0.58,0.07, 0.09, 1.02
 -1.92, 0.96, -0.71,0.07, 0.09, 1.02
 -1.70, 0.98, -0.92,0.07, 0.09, 1.03
 -2.01, 0.92, -0.87,0.08, 0.09, 1.01
 -1.94, 0.98, -0.92,0.08, 0.09, 1.02
 -2.01, 0.81, -0.83,0.08, 0.09, 1.02
 -2.17, 0.92, -0.93,0.07, 0.09, 1.03
 -2.05, 1.05, -0.97,0.07, 0.09, 1.02
 -1.80, 1.01, -0.70,0.07, 0.09, 1.01
 -2.21, 1.18, -0.74,0.08, 0.09, 1.03
 -1.82, 0.85, -0.67,0.07, 0.09, 1.02
 -2.22, 0.88, -0.60,0.08, 0.08, 1.03
 -2.00, 1.15, -0.69,0.07, 0.09, 1.01
 -2.09, 0.75, -0.66,0.08, 0.09, 1.02
 -2.00, 0.94, -0.86,0.08, 0.09, 1.02
 -1.85, 1.10, -0.86,0.08, 0.09, 1.02
 -2.33, 1.07, -0.82,0.07, 0.09, 1.02
 -1.98, 0.89, -0.72,0.07, 0.08, 1.02
 -1.95, 0.92, -0.95,0.07, 0.09, 1.02
 -1.96, 0.85, -0.88,0.08, 0.09, 1.03
 -1.93, 0.76, -0.79,0.07, 0.09, 1.02
 -1.69, 0.92, -0.93,0.07, 0.09, 1.02
 -2.07, 0.73, -0.79,0.08, 0.09, 1.02
 -2.05, 0.92, -0.79,0.08, 0.09, 1.02
 -1.93, 0.98, -0.73,0.08, 0.09, 1.02
 -2.06, 0.85, -0.60,0.07, 0.10, 1.02
 -2.23, 0.93, -0.53,0.07, 0.10, 1.02
 -1.70, 0.86, -0.52,0.08, 0.09, 1.02
 -1.62, 0.73, -0.77,0.07, 0.09, 1.03
 -1.89, 0.93, -0.63,0.07, 0.09, 1.03
 -1.87, 0.70, -0.95,0.08, 0.10, 1.02
 -1.97, 0.89, -0.81,0.08, 0.09, 1.02
 -2.08, 1.10, -0.97,0.08, 0.10, 1.02
 -2.17, 0.95, -0.98,0.07, 0.10, 1.02
 -1.72, 0.96, -0.89,0.08, 0.09, 1.02
 -2.17, 1.13, -0.89,0.07, 0.09, 1.02
 -2.15, 0.79, -0.71,0.07, 0.09, 1.02
 -1.96, 0.73, -0.64,0.07, 0.09, 1.02
 -1.75, 0.86, -0.63,0.07, 0.08, 1.03
 -2.05, 0.91, -0.61,0.07, 0.10, 1.02
 -1.92, 0.99, -0.67,0.07, 0.09, 1.03
 -1.80, 1.07, -0.69,0.07, 0.09, 1.02
 -2.02, 1.08, -0.63,0.07, 0.09, 1.02
 -2.04, 0.82, -0.66,0.07, 0.09, 1.02
 -1.97, 1.02, -0.82,0.08, 0.09, 1.02
 -1.98, 0.81, -0.83,0.07, 0.09, 1.02
 -1.76, 0.93, -0.94,0.07, 0.09, 1.02
 -1.98, 0.94, -0.89,0.07, 0.09, 1.02
 -1.74, 0.91, -0.56,0.07, 0.09, 1.04
 -1.88, 0.92, -0.73,0.07, 0.09, 1.02
 -2.12, 1.03, -0.71,0.07, 0.10, 1.01
 -1.82, 1.11, -0.68,0.07, 0.09, 1.03
 -2.15, 1.20, -0.68,0.07, 0.09, 1.03
 -2.18, 0.75, -0.63,0.07, 0.10, 1.03
 -1.93, 0.94, -0.58,0.08, 0.09, 1.02
 -2.05, 0.90, -0.73,0.07, 0.09, 1.03
 -1.97, 0.95, -0.78,0.07, 0.10, 1.02
 -1.76, 0.84, -0.86,0.07, 0.08, 1.02
 -1.53, 1.04, -0.77,0.08, 0.09, 1.02
 -1.99, 0.73, -0.74,0.08, 0.09, 1.02
 -1.76, 0.92, -0.77,0.08, 0.08, 1.02
 -2.03, 0.97, -0.85,0.08, 0.09, 1.02
 -2.05, 1.02, -0.69,0.08, 0.10, 1.02
 -2.33, 0.94, -0.68,0.07, 0.09, 1.02
 -1.89, 1.24, -0.79,0.07, 0.09, 1.01
 -1.80, 0.77, -0.67,0.07, 0.09, 1.03
 -2.18, 0.84, -0.53,0.07, 0.09, 1.03
 -1.93, 0.94, -0.66,0.07, 0.09, 1.01
 -1.73, 0.89, -0.60,0.07, 0.10, 1.03
 -1.79, 0.77, -0.87,0.08, 0.09, 1.01
 -1.91, 0.83, -0.74,0.07, 0.09, 1.02
 -2.06, 0.79, -0.92,0.08, 0.09, 1.02
 -1.82, 0.90, -0.98,0.08, 0.09, 1.03
 -1.99, 0.85, -0.76,0.07, 0.09, 1.03
 -1.68, 0.86, -0.87,0.08, 0.09, 1.03
 -2.03, 0.70, -0.80,0.07, 0.09, 1.02
 -1.81, 0.96, -0.57,0.06, 0.09, 1.02
 -1.91, 0.92, -0.79,0.07, 0.09, 1.02
 -1.89, 0.89, -0.67,0.08, 0.09, 1.02
 -2.21, 1.11, -0.66,0.07, 0.09, 1.02
 -1.97, 1.01, -0.83,0.08, 0.09, 1.03
 -2.00, 0.86, -0.79,0.07, 0.09, 1.03
 -2.18, 0.84, -0.65,0.07, 0.09, 1.02
 -2.08, 0.88, -0.71,0.07, 0.09, 1.02
 -1.85, 0.93, -0.83,0.08, 0.09, 1.02
 -2.16, 0.97, -0.77,0.07, 0.09, 1.02
 -2.14, 0.92, -1.03,0.08, 0.09, 1.02
 -1.88, 0.73, -0.94,0.07, 0.09, 1.02
 -2.08, 1.08, -0.85,0.07, 0.09, 1.02
 -1.82, 1.04, -0.81,0.07, 0.09, 1.02
 -1.95, 0.82, -0.76,0.07, 0.09, 1.02
 -2.14, 0.87, -0.70,0.07, 0.09, 1.02
 -1.71, 0.98, -0.69,0.07, 0.09, 1.02
 -1.93, 1.04, -0.73,0.08, 0.09, 1.01
 -2.03, 0.92, -0.64,0.08, 0.09, 1.03
 -2.00, 1.01, -0.76,0.07, 0.10, 1.02
 -2.02, 0.96, -0.78,0.07, 0.09, 1.02
 -1.98, 0.76, -0.75,0.07, 0.10, 1.02
 -1.94, 0.76, -0.90,0.07, 0.10, 1.02
 -1.89, 0.92, -0.84,0.07, 0.09, 1.02
 -1.89, 1.02, -0.84,0.07, 0.09, 1.02
 -1.92, 0.98, -0.85,0.08, 0.09, 1.01
 -1.94, 0.87, -0.84,0.07, 0.09, 1.02
 -2.11, 0.84, -0.56,0.07, 0.09, 1.03
 -1.99, 0.76, -0.61,0.08, 0.09, 1.02
 -1.93, 0.92, -0.63,0.08, 0.09, 1.02
 -1.99, 0.95, -0.53,0.07, 0.09, 1.02
 -1.75, 1.02, -0.69,0.08, 0.09, 1.02
 -1.95, 0.98, -0.53,0.07, 0.09, 1.01
 -2.05, 0.79, -0.76,0.07, 0.09, 1.02
 -1.89, 0.95, -0.81,0.08, 0.09, 1.03
 -2.19, 0.76, -0.90,0.08, 0.09, 1.02
 -1.89, 0.76, -0.92,0.08, 0.09, 1.03
 -1.98, 0.75, -0.90,0.08, 0.09, 1.02
 -1.74, 0.97, -0.87,0.07, 0.09, 1.02
 -1.98, 0.78, -0.78,0.07, 0.09, 1.01
 -2.08, 1.07, -0.75,0.07, 0.09, 1.02
 -1.91, 0.86, -0.79,0.08, 0.09, 1.02
 -2.11, 0.78, -0.84,0.08, 0.09, 1.02
 -2.05, 1.07, -0.69,0.08, 0.09, 1.02
 -2.01, 1.01, -0.63,0.08, 0.09, 1.02
 -2.01, 0.93, -0.76,0.07, 0.09, 1.02
 -1.80, 1.02, -0.97,0.07, 0.08, 1.02
 -1.99, 0.91, -0.62,0.08, 0.10, 1.02
 -1.80, 0.98, -0.86,0.07, 0.09, 1.02
 -2.03, 0.73, -0.85,0.07, 0.10, 1.02
 -1.99, 0.99, -0.90,0.07, 0.09, 1.02
 -1.92, 0.96, -0.98,0.07, 0.09, 1.02
 -2.06, 0.89, -0.99,0.08, 0.09, 1.01
 -1.92, 0.86, -0.72,0.08, 0.08, 1.02
 -1.98, 0.87, -0.79,0.08, 0.09, 1.03
 -1.94, 0.99, -0.81,0.07, 0.09, 1.02
 -1.85, 0.97, -0.63,0.07, 0.09, 1.03
 -1.90, 1.02, -0.68,0.07, 0.09, 1.02
 -1.94, 1.05, -0.64,0.07, 0.08, 1.02
 -2.02, 0.91, -0.81,0.08, 0.09, 1.03
 -1.95, 0.86, -0.75,0.07, 0.09, 1.01
 -1.74, 0.82, -0.77,0.08, 0.09, 1.02
